title,url,published_date
WES 2020: Transforming curriculum for relevance to changing employment scenario in Covid times,https://www.youtube.com/watch?v=0jxsyrBWYic,2020-12-19
WES 2020: Preschool Education: Professional Development of Early Childhood Practitioners,https://www.youtube.com/watch?v=ZCY3iGamW7Q,2020-12-18
WES 2020: Aftermath of Covid-19 and how the crisis is going to impact school education,https://www.youtube.com/watch?v=a3ln0RJ9U0A,2020-12-18
World Education Summit 2020: How education can emerge stronger then before COVID Pandemic,https://www.youtube.com/watch?v=UU6KXNrYL9w,2020-12-18
"World Education Summit 2020: Exclusive Session by Supreet Singh, Fliplearn Education Pvt Ltd.",https://www.youtube.com/watch?v=drxkfk0GJFM,2020-12-17
"WES 2020: Parmod Kumar, State Program Officer, Department of School Education, Govt of Haryana",https://www.youtube.com/watch?v=pKuq2ZO-HZ8,2020-12-17
"World Education Summit 2020: Anshul Sonak, Senior Director - Global AI Readiness, Intel Corporation",https://www.youtube.com/watch?v=noDsC4V-_9E,2020-12-17
"World Education Summit 2020: New Education Policy 2020 – Approaches, Opportunities & Challenges",https://www.youtube.com/watch?v=uJDHwrl7vnk,2020-12-16
"WES 2020: Akash Singh, Manager, Product training & development, Globus Infocom Ltd.",https://www.youtube.com/watch?v=cU803JNpfl8,2020-12-16
WES 2020: Future Proofing School Learning Ecosystem – Leveraging Innovation to Reinvent,https://www.youtube.com/watch?v=KV-a4IC-BUQ,2020-12-16
"WES 2020: Bridging digital-divide: The Onus lies with Policy Makers, Educators & Industry",https://www.youtube.com/watch?v=eLymeN-_teE,2020-12-15
WES 2020: Aanandam: Imparting Modern Education with Social values to the Youth of Rajasthan,https://www.youtube.com/watch?v=lqRrd_aAx7Q,2020-12-15
17th World Education Summit School Education,https://www.youtube.com/watch?v=aTKnE7pTLQQ,2020-12-10
"World Education Summit 2020: Dr Nitin Kumar Tripathi, Professor and Director , AIT , Thailand",https://www.youtube.com/watch?v=Y77rDAXIrOQ,2020-12-02
World Education Summit 2020: Exploring Dynamics of Cross-Cultural Collaboration in Higher Education,https://www.youtube.com/watch?v=GvFZC-86Y0Q,2020-12-02
"WES 2020: Vipul Mitra, Add. Chief Secretary, Labour & Employment Dept, Govt of Gujarat",https://www.youtube.com/watch?v=JvoWCQx5lX0,2020-12-02
"MNR Educational Trust at 16th World Education Summit, Hyderabad.",https://www.youtube.com/watch?v=AD1bnWlOjok,2020-03-04
"Dr Kargapa Kumaravel, Dean, Central University of Tamil Nadu at 16th World Education Summit",https://www.youtube.com/watch?v=Vjbf3J8Kepw,2020-03-02
